"Country;Country code;Three worlds;Types of capitalism;Varieties of capitalism"
"Australia;AUS;Liberal;LME;LME"
"Canada;CAN;Liberal;LME;LME"
"Great Britain;GBR;Liberal;LME;LME"
"Japan;JPN;Conservative;GCME;NC/C"
"Switzerland;CHE;Conservative;SCME;CME"
"United States;USA;Liberal;LME;LME"
"Austria;AUT;Soc.Dem.;SCME;CME"
"Belgium;BEL;Soc.Dem.;SCME;CME"
"Germany;DEU;Conservative;SCME;CME"
"France;FRA;Conservative;SCME;NC/C"
"Italy;ITA;Conservative;SCME;NC/C"
"Denmark;DNK;Soc.Dem.;NCME;CME"
"Finland;FIN;Conservative;NCME;CME"
"The Netherlands;NLD;Soc.Dem.;SCME;CME"
"Norway;NOR;Soc.Dem.;NCME;CME"
"Sweden;SWE;Soc.Dem.;NCME;CME"
"Greece;GRC;NC/C;NC/C;NC/C"
"Ireland;IRL;Liberal;LME;LME"
"New Zealand;NZL;Liberal;LME;LME"
"Portugal;PRT;NC/C;NC/C;NC/C"
"Spain;ESP;NC/C;NC/C;NC/C"
